SEQ_VALUE,MSG_TIME_STAMP,MSG_FLAG,HEAT_NUMBER,GRADE_TYPE,LM_START_WT,TAP_O2,O2AFTERCELOX,LTA,FIRSTMEASTEMP,STATION,LIME,SIMN,ALBAR
33521837,2022-02-10 20:29:23.643,N,22100707,JDT0550DCN,183,474,344,132.1,1528,5,316,1755,22
33521606,2022-02-10 20:24:53.630,N,22200717,JDHCG04BCN,203,1157,0,93.92,1599,2,849,NULL,418
33521467,2022-02-10 20:21:53.627,N,22300740,JDHCG04BCN,184,966,0,116.1,1562,3,928,NULL,396
33521206,2022-02-10 20:16:53.637,N,22400754,JDHCG04ACN,205,1000,0,0,0,4,1246,NULL,0
33521106,2022-02-10 20:14:23.607,N,22200717,JDHCG04ACN,203,1157,0,0,1599,2,849,NULL,418
33521009,2022-02-10 20:12:53.617,N,22200717,JDHCG04ACN,203,1157,0,0,0,2,849,NULL,0
33520797,2022-02-10 20:09:23.607,N,22100707,JDT0550DCN,183,474,344,132.1,0,5,316,1755,0
33520645,2022-02-10 20:05:53.657,N,22300740,JDHCG04BCN,184,966,0,116.1,1562,3,928,NULL,396
33520539,2022-02-10 20:03:53.613,N,22200716,JDHCG04B1N,188,1132,56,21.67,1565,1,2288,NULL,396
33520528,2022-02-10 20:03:23.610,N,22300739,JDT0550DCN,168,405,192,91.62,1531,5,484,1785,88
33520155,2022-02-10 19:55:53.640,N,22300740,JDHCG04BCN,184,966,0,0,1562,3,928,NULL,396
33520139,2022-02-10 19:55:53.633,N,22200716,JDHCG04B1N,188,1132,56,21.67,1565,1,2288,NULL,396
33519857,2022-02-10 19:50:23.600,N,22300740,JDHCG04ACN,184,966,0,0,0,3,928,NULL,0
33519591,2022-02-10 19:44:53.600,N,22200716,JDHCG04B1N,188,1132,56,21.67,0,1,2288,NULL,396
33519566,2022-02-10 19:44:23.597,N,22100707,JDTL0550DN,183,474,344,0,0,1,316,1755,0
33519557,2022-02-10 19:44:23.593,N,22100707,JDTL0550DN,183,474,344,0,0,1,316,1755,0
33519389,2022-02-10 19:40:53.600,N,22200716,JDHCG04B1N,188,1132,56,21.67,1633,2,959,NULL,396
33518791,2022-02-10 19:27:53.567,N,22200716,JDHCG04B1N,188,1132,56,21.67,1633,2,959,NULL,396
33518633,2022-02-10 19:24:23.560,N,22400753,JDHCG04B1N,191,992,0,72.97,1584,4,1013,232,418
33518245,2022-02-10 19:17:23.553,N,22400753,JDHCG04B1N,191,992,0,72.97,1584,4,1013,232,418
33517816,2022-02-10 19:08:53.547,N,22100706,JDHCG04B1N,187,717,201,133.97,1576,1,1090,NULL,396
33517786,2022-02-10 19:08:23.547,N,22300739,JDT0550DCN,168,405,192,91.62,1531,5,484,1785,88
33517618,2022-02-10 19:04:53.563,N,22200716,JDHCG04ACN,188,1132,56,21.67,0,2,959,NULL,0
33517502,2022-02-10 19:02:53.553,N,22300739,JDT0550DCN,168,405,192,91.62,0,5,484,1785,88
33517313,2022-02-10 18:59:23.533,N,22300738,JDTL0550DN,197,723,0,73.12,1539,5,489,1928,44
33517089,2022-02-10 18:54:53.540,N,22400753,JDHCG04B1N,191,992,0,0,1584,4,1013,232,418
33516946,2022-02-10 18:51:23.537,N,22400753,JDHCG04B1N,191,992,0,0,0,4,1013,232,0
33516257,2022-02-10 18:36:23.523,N,22400752,JDHCG04B1N,194,778,125,0,1578,4,1012,241,418
33516161,2022-02-10 18:34:53.510,N,22100706,JDHCG04B1N,187,717,201,133.97,1576,1,1090,NULL,396
33516032,2022-02-10 18:32:23.520,N,22100706,JDBPS500DZ,187,717,201,0,0,1,1090,NULL,0
33516004,2022-02-10 18:31:53.520,N,22300739,JDTH550DCN,168,405,192,92.92,0,3,484,1785,88
33515820,2022-02-10 18:27:53.520,N,22300739,JDHCG04ACN,168,405,192,0,0,3,484,1785,0
33515588,2022-02-10 18:24:23.513,N,22200715,JDHCG04B1N,190,1013,92,35.5,1607,2,1142,NULL,396
33514902,2022-02-10 18:10:53.483,N,22200715,JDHCG04B1N,190,1013,92,35.5,1607,2,1142,NULL,396
33514748,2022-02-10 18:07:53.493,N,22300738,JDTL0550DN,196,723,0,73.12,1539,5,489,1928,44
33514463,2022-02-10 18:01:53.503,N,22300738,JDTL0550DN,196,723,0,73.12,0,5,489,1928,44
