SEQ_VALUE,MSG_TIME_STAMP,MSG_FLAG,HEAT_NUMBER,GRADE,GRADE_TYPE,AGGREGATE,STATION,AL_chem_first,S_chem_first,C_chem_first,SI_chem_first,First_Probe_temp_lf,Al_Bar_lf,LM_Start_Wt_lf,LTA_lf,Lime_tap,Simn_Tap,final_O2_ppm,LOI_perc,AL_KGS,AL_MTS,Carbon_Node,Oxygen_Node
5710,2022-02-18 20:09:57.463,N,22400900,JDHWG29CCZ,VAG,LF4,4,0.081,0.024,0.044,0.006,1587,20.8421052631579,188,86.38,1015,201,1200,6,178.390570347369,535.171711042105,4,0
5709,2022-02-18 19:51:14.183,N,22100852,JDHST29EXZ,CG/CR,LF1,1,0.094,0.025,0.034,0.006,1568,20.8421052631579,174,123.53,1091,0,882,6,88.3985211894737,265.195563568421,3,0
5708,2022-02-18 19:24:42.413,N,22300879,JDHWG29CCZ,VAG,LF3,3,0.036,0.033,0.04,0.003,1581,20.8421052631579,194,60,709,208,1360,6,222.887837352632,668.663512057895,6,0
5707,2022-02-18 18:39:17.233,N,22200848,JDHST29EXZ,CG/CR,LF2,2,0.055,0.03,0.033,0.004,1599,20.8421052631579,190,95.15,755,0,1240,6,192.2907576,576.8722728,4,7
5706,2022-02-18 18:33:57.340,N,22100851,JDHWG29CCZ,VAG,LF1,1,0.005,0.035,0.036,0,1621,20.8421052631579,188,113.82,1089,0,991,6,381.413651368421,1144.24095410526,15,0
5705,2022-02-18 18:14:37.453,N,22300878,JDHST29EXZ,CG/CR,LF3,3,0.073,0.044,0.037,0,1550,20.8421052631579,183,60,817,0,1010,6,285.634397,856.903191,4,6
5704,2022-02-18 17:43:17.240,N,22200847,JDHWG29CCZ,VAG,LF2,2,0.011,0.026,0.036,0,1550,22,196,60,959,0,1161,6,422.8781622,1268.6344866,13,0
5703,2022-02-18 17:35:14.193,N,22400898,JDHST29EXZ,CG/CR,LF4,4,0.075,0.025,0.033,0.001,1608,20.8421052631579,188,98.2,1015,0,1175,6,184.8685616,554.6056848,4,6
5702,2022-02-18 16:55:42.277,N,22100849,JDHST29EXZ,CG/CR,LF1,1,0.005,0.034,0.027,0.005,1550,20.8421052631579,191,224.77,1091,183,1111,6,368.958819510526,1106.87645853158,10,9
5701,2022-02-18 16:35:58.290,N,22400897,JDHST29EXZ,CG/CR,LF4,4,0.056,0.024,0.028,0.002,1629,20.8421052631579,182,129,1001,0,1056,6,191.6304608,574.8913824,4,7
5700,2022-02-18 15:51:57.440,N,22300876,JDHCG04BCN,CG/CR,LF1,1,0.088,0.03,0.032,0.007,1552,23.1578947368421,183,333.38,500,0,1051,6,124.903409710526,374.710229131579,3,0
5699,2022-02-18 15:41:17.477,N,22400896,JDHST29EXZ,CG/CR,LF4,4,0.019,0.022,0.03,0.001,1550,20.8421052631579,179,61.28,1015,0,1120,6,246.239220189474,738.717660568421,7,4
5698,2022-02-18 15:03:17.290,N,22100848,JDHCG04BCN,CG/CR,LF1,1,0.033,0.03,0.03,0.001,1617,20.8421052631579,205,143.67,867,0,992,6,251.730672757895,755.192018273684,11,5
5697,2022-02-18 14:43:57.380,N,22300875,JDHST29EXZ,CG/CR,LF3,3,0.092,0.016,0.038,0.007,1550,20.8421052631579,182,321.67,1087,0,1070,6,55.5632400315789,166.689720094737,1,1
5696,2022-02-18 14:05:57.717,N,22100847,JDHCG04ACZ,CG/CR,LF1,1,0.054,0.022,0.033,0.004,1574,20.8421052631579,194,60,2183,0,895,6,107.3799074,322.1397222,4,0
