SEQ_VALUE,MSG_TIME_STAMP,HEAT_NUMBER,AGGREGATE,AL_KGS,AL_MTS,MSG_FLAG,UPDATE_DATE
7599,2022-03-30 13:28:16.630,22401632,LF4,25.2573742000001,75.7721226000002,C,2022-03-30 13:28:45.103
7598,2022-03-30 13:14:16.497,22201568,LF2,50.7668471789474,152.300541536842,C,2022-03-30 13:14:45.107
7597,2022-03-30 12:50:40.363,22101565,LF1,101.474821378947,304.424464136842,C,2022-03-30 12:50:45.100
7596,2022-03-30 12:22:16.623,22201567,LF2,174.3892938,523.1678814,C,2022-03-30 12:22:44.880
7595,2022-03-30 12:16:55.537,22401631,LF4,85.0499036,255.1497108,C,2022-03-30 12:17:14.990
7594,2022-03-30 11:39:35.600,22101564,LF1,124.178352,372.535056,C,2022-03-30 11:39:45.073
7593,2022-03-30 11:16:55.570,22201566,LF2,79.0705731894737,237.211719568421,C,2022-03-30 11:17:14.907
7592,2022-03-30 11:06:16.447,22401630,LF4,57.5160608210526,172.548182463158,C,2022-03-30 11:06:45.000
7591,2022-03-30 10:39:35.937,22101563,LF1,79.3651195789473,238.095358736842,C,2022-03-30 10:39:45.073
7590,2022-03-30 09:57:35.690,22401629,LF4,0,0,C,2022-03-30 09:57:44.860
7589,2022-03-30 09:46:55.813,22201565,LF2,88.2956050263158,264.886815078947,C,2022-03-30 09:47:14.960
7588,2022-03-30 09:16:55.867,22101562,LF1,123.454548021053,370.363644063158,C,2022-03-30 09:17:14.803
7587,2022-03-30 09:08:16.070,22201564,LF3,183.103342589474,549.310027768421,C,2022-03-30 09:08:44.900
7586,2022-03-30 08:38:55.873,22401628,LF4,180.088793989474,540.266381968421,C,2022-03-30 08:39:14.850
7585,2022-03-30 08:14:16.117,22101561,LF1,180.932082821053,542.796248463158,C,2022-03-30 08:14:44.863
7584,2022-03-30 07:42:13.273,22401627,LF4,162.86317761579,488.589532847369,C,2022-03-30 07:42:14.697
7583,2022-03-30 07:39:40.560,22101560,LF1,249.846126642105,749.538379926316,C,2022-03-30 07:39:44.737
7582,2022-03-30 07:26:16.337,22201563,LF2,156.184330778947,468.552992336842,C,2022-03-30 07:26:44.913
7581,2022-03-30 05:17:39.903,22101559,LF1,174.4838702,523.4516106,C,2022-03-30 05:17:44.720
7580,2022-03-30 04:51:34.880,22301587,LF3,50.966027731579,152.898083194737,C,2022-03-30 04:51:44.637
7579,2022-03-30 04:40:25.383,22201561,LF2,257.696276326316,773.088828978947,C,2022-03-30 04:40:44.633
7578,2022-03-30 04:13:36.187,22401625,LF4,212.9017654,638.7052962,C,2022-03-30 04:13:44.673
