SEQ_VALUE,MSG_TIME_STAMP,HEAT_NUMBER,AGGREGATE,AL_KGS,AL_MTS,MSG_FLAG,UPDATE_DATE
7832,2022-04-05 15:04:50.137,22401724,LF4,199.996378094737,599.98913428421,C,2022-04-05 15:05:08.463
7831,2022-04-05 13:58:25.177,22101666,LF1,208.342686105263,625.028058315789,C,2022-04-05 13:58:38.227
7830,2022-04-05 13:54:13.683,22301671,LF3,207.3080388,621.9241164,C,2022-04-05 13:54:38.397
7829,2022-04-05 12:38:35.363,22101664,LF1,223.464833673684,670.394501021053,C,2022-04-05 12:38:38.207
7828,2022-04-05 12:30:11.880,22301670,LF3,76.6595346894737,229.978604068421,C,2022-04-05 12:30:38.267
7827,2022-04-05 11:13:30.373,22301669,LF3,105.470207789474,316.410623368421,C,2022-04-05 11:13:39.957
7826,2022-04-05 10:29:05.350,22101663,LF1,167.282998510526,501.848995531579,C,2022-04-05 10:29:08.243
7825,2022-04-05 09:42:13.577,22301668,LF3,182.391255189474,547.173765568421,C,2022-04-05 09:42:38.020
7824,2022-04-05 09:32:50.357,22201662,LF2,0,0,C,2022-04-05 09:33:08.073
7823,2022-04-05 08:38:11.607,22101662,LF1,170.6329065,511.8987195,C,2022-04-05 08:38:37.990
7822,2022-04-05 07:48:11.520,22401723,LF4,343.9546893,1031.8640679,C,2022-04-05 07:48:37.907
7821,2022-04-05 07:04:11.670,22101661,LF1,9.37772630000001,28.1331789,C,2022-04-05 07:04:37.987
7820,2022-04-05 05:36:05.360,22201660,LF2,156.97199013309,470.915970399269,C,2022-04-05 05:36:07.900
7819,2022-04-05 04:17:30.740,22101660,LF1,1.08997869999997,3.26993609999992,C,2022-04-05 04:17:37.827
7818,2022-04-05 03:36:35.733,22301665,LF3,12.1188591,36.3565773,C,2022-04-05 03:36:37.837
7817,2022-04-05 02:29:30.750,22201659,LF2,142.89864539499,428.695936184969,C,2022-04-05 02:29:37.783
7816,2022-04-05 01:18:50.747,22401722,LF4,88.245133,264.735399,C,2022-04-05 01:19:07.660
7815,2022-04-05 01:06:35.423,22201658,LF2,209.167055689474,627.501167068421,C,2022-04-05 01:06:37.640
7814,2022-04-05 00:56:35.433,22101659,LF1,34.0923746,102.2771238,C,2022-04-05 00:56:37.693
7813,2022-04-05 00:02:11.380,22301664,LF3,7.66847800000002,23.0054340000001,C,2022-04-05 00:02:37.523
7812,2022-04-04 23:47:30.893,22401721,LF4,154.875232389474,464.625697168421,C,2022-04-04 23:47:37.757
7811,2022-04-04 21:33:34.920,22101657,LF1,0.224713800000014,0.674141400000043,C,2022-04-04 21:33:37.867
7810,2022-04-03 23:13:35.647,22101647,LF5,13.6254546,40.8763638,C,2022-04-03 23:13:41.303
7809,2022-04-03 22:39:05.660,22401709,LF4,270.878222336842,812.634667010526,C,2022-04-03 22:39:11.907
7808,2022-04-03 20:32:35.443,22201646,LF3,99.3656201789474,298.096860536842,C,2022-04-03 20:32:41.070
7807,2022-04-03 02:38:12.333,22401696,LF4,183.604866189474,550.814598568421,C,2022-04-03 02:38:40.063
7806,2022-04-03 01:51:35.820,22301657,LF3,267.789079726316,803.367239178947,C,2022-04-03 01:51:40.090
7805,2022-04-03 01:42:50.877,22201634,LF2,162.399113305263,487.197339915789,C,2022-04-03 01:43:10.700
7804,2022-04-03 01:11:30.903,22101632,LF1,157.41052901579,472.231587047369,C,2022-04-03 01:11:39.860
7803,2022-04-03 01:06:11.337,22401695,LF4,135.0345842,405.1037526,C,2022-04-03 01:06:39.977
7802,2022-04-03 00:55:05.863,22401694,LF4,28.4077024,85.2231072,C,2022-04-03 00:55:10.957
7801,2022-04-03 00:26:12.263,22301656,LF3,188.5688358,565.7065074,C,2022-04-03 00:26:39.910
7800,2022-04-03 00:09:30.613,22201633,LF2,166.934031489474,500.802094468421,C,2022-04-03 00:09:39.903
7799,2022-04-02 23:27:30.543,22101631,LF1,136.5149012,409.5447036,C,2022-04-02 23:27:39.790
7798,2022-04-02 23:25:35.523,22401693,LF3,144.104263015789,432.312789047368,C,2022-04-02 23:25:39.987
7797,2022-04-02 22:40:11.330,22201632,LF2,79.3129071789473,237.938721536842,C,2022-04-02 22:40:39.897
7796,2022-04-02 22:24:35.543,22401692,LF4,6.27988863157893,18.8396658947368,C,2022-04-02 22:24:39.717
7795,2022-04-02 22:20:11.063,22101630,LF1,357.322032489474,1071.96609746842,C,2022-04-02 22:20:39.867
7794,2022-04-02 21:35:34.930,22301653,LF3,310.482157242105,931.446471726316,C,2022-04-02 21:35:39.700
7793,2022-04-02 21:32:25.233,22201631,LF2,117.930683189474,353.792049568421,C,2022-04-02 21:32:39.907
7792,2022-04-02 20:53:34.907,22401691,LF4,177.472219342105,532.416658026316,C,2022-04-02 20:53:39.773
7791,2022-04-02 20:35:06.040,22201630,LF2,193.8050758,581.4152274,C,2022-04-02 20:35:10.100
7790,2022-04-02 19:31:06.020,22201629,LF2,159.4071879,478.2215637,C,2022-04-02 19:31:09.980
7789,2022-04-02 19:15:35.413,22401690,LF4,80.4988707789474,241.496612336842,C,2022-04-02 19:15:40.563
7788,2022-04-02 18:30:06.037,22301651,LF3,219.832420336842,659.497261010526,C,2022-04-02 18:30:09.777
7787,2022-04-02 17:54:49.973,22201628,LF2,169.035228094737,507.105684284211,C,2022-04-02 17:55:10.580
7786,2022-04-02 17:25:06.103,22301650,LF4,270.2466926,810.7400778,C,2022-04-02 17:25:10.087
7785,2022-04-02 17:08:51.107,22101626,LF1,223.7627736,671.2883208,C,2022-04-02 17:09:11.250
7784,2022-04-02 16:27:29.890,22401688,LF4,217.955109094737,653.86532728421,C,2022-04-02 16:27:39.507
7783,2022-04-02 16:19:29.997,22101625,LF1,249.132558336842,747.397675010526,C,2022-04-02 16:19:39.540
7782,2022-04-02 15:41:25.293,22401687,LF4,208.880250136842,626.640750410526,C,2022-04-02 15:41:39.477
